expiration_id,src_port,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,splt_direction,splt_ps,splt_piat_ms,application_is_guessed,application_confidence,Label
0,62512,7777,17,4,0,0,1.68E+12,1.68E+12,899,8,13520,1.68E+12,1.68E+12,899,8,13520,0,0,0,0,0,576,1690,1739.773384,4600,576,1690,1739.773384,4600,0,0,0,0,2,128.4285714,294.4010061,794,2,128.4285714,294.4010061,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[4600, 576, 1800]","[0, 12, 4]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,3192,61,58045,1.68E+12,1.68E+12,3192,61,58045,0,0,0,0,0,208,951.557377,1027.804724,4956,208,951.557377,1027.804724,4956,0,0,0,0,1,53.2,93.11461863,490,1,53.2,93.11461863,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 22, 6]",0,0,benign
0,8889,6525,17,4,0,0,1.68E+12,1.68E+12,3419,21,5782,1.68E+12,1.68E+12,3419,21,5782,0,0,0,0,0,104,275.3333333,383.7524376,1888,104,275.3333333,383.7524376,1888,0,0,0,0,1,170.95,138.3277858,421,1,170.95,138.3277858,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[127, 127, 287]","[0, 363, 240]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,4869,79,90302,1.68E+12,1.68E+12,4869,79,90302,0,0,0,0,0,576,1143.063291,1137.889717,4528,576,1143.063291,1137.889717,4528,0,0,0,0,0,62.42307692,117.6816661,744,0,62.42307692,117.6816661,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 744, 244]",0,0,benign
1,8889,6525,17,4,0,0,1.68E+12,1.68E+12,4636,23,15064,1.68E+12,1.68E+12,4636,16,13700,1.68E+12,1.68E+12,129,7,1364,110,654.9565217,763.7259431,2856,127,856.25,839.5581775,2856,110,194.8571429,146.6781381,472,8,210.7272727,315.0669138,1393,48,309.0666667,409.0858217,1393,8,21.5,10.13410085,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 836]","[0, 1393, 101]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,4362,28,43403,1.68E+12,1.68E+12,4362,28,43403,0,0,0,0,0,576,1550.107143,1305.254519,4384,576,1550.107143,1305.254519,4384,0,0,0,0,3,161.5555556,389.775412,1869,3,161.5555556,389.775412,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[2408, 4384, 2944]","[0, 41, 1869]",0,6,benign
1,8889,6525,17,4,0,0,1.68E+12,1.68E+12,2187,7,6669,1.68E+12,1.68E+12,2187,7,6669,0,0,0,0,0,127,952.7142857,1468.883557,4256,127,952.7142857,1468.883557,4256,0,0,0,0,55,364.5,322.0265517,928,55,364.5,322.0265517,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[4256, 127, 567]","[0, 175, 517]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,4833,52,36164,1.68E+12,1.68E+12,4833,52,36164,0,0,0,0,0,229,695.4615385,500.2532481,3304,229,695.4615385,500.2532481,3304,0,0,0,0,2,94.76470588,214.7480932,1534,2,94.76470588,214.7480932,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 1534, 198]",0,0,benign
1,8889,6525,17,4,0,0,1.68E+12,1.68E+12,1857,8,1891,1.68E+12,1.68E+12,1247,7,1337,1.68E+12,1.68E+12,0,1,554,127,236.375,136.487506,554,127,191,50.17303393,231,554,554,0,554,1,265.2857143,257.6539762,610,1,207.8333333,227.8950782,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[231, 231, 231]","[0, 1, 1]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,1763,38,20625,1.68E+12,1.68E+12,1763,38,20625,0,0,0,0,0,276,542.7631579,87.8522821,576,276,542.7631579,87.8522821,576,0,0,0,0,2,47.64864865,80.89953173,421,2,47.64864865,80.89953173,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[276, 276, 576]","[0, 3, 19]",0,0,benign
